,Unnamed: 0,Unnamed: 1,Time,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min .1,7 min 34 s.1,9 min 39 s.1,11 min 44 s.1,19 min 18 s.1,21 min 23 s.1,23 min 28 s.1,31 min 3 s.1,33 min 8 s.1,35 min 13 s.1,42 min 47 s.1,44 min 52 s.1,46 min 57 s.1,0 min .2,7 min 34 s.2,9 min 39 s.2,11 min 44 s.2,19 min 18 s.2,21 min 23 s.2,23 min 28 s.2,31 min 3 s.2,33 min 8 s.2,35 min 13 s.2,42 min 47 s.2,44 min 52 s.2,46 min 57 s.2,0 min .3,7 min 34 s.3,9 min 39 s.3,11 min 44 s.3,19 min 18 s.3,21 min 23 s.3,23 min 28 s.3,31 min 3 s.3,33 min 8 s.3,35 min 13 s.3,42 min 47 s.3,44 min 52 s.3,46 min 57 s.3,0 min .4,7 min 34 s.4,9 min 39 s.4,11 min 44 s.4,19 min 18 s.4,21 min 23 s.4,23 min 28 s.4,31 min 3 s.4,33 min 8 s.4,35 min 13 s.4,42 min 47 s.4,44 min 52 s.4,46 min 57 s.4,0 min .5,7 min 34 s.5,9 min 39 s.5,11 min 44 s.5,19 min 18 s.5,21 min 23 s.5,23 min 28 s.5,31 min 3 s.5,33 min 8 s.5,35 min 13 s.5,42 min 47 s.5,44 min 52 s.5,46 min 57 s.5,0 min .6,7 min 34 s.6,9 min 39 s.6,11 min 44 s.6,19 min 18 s.6,21 min 23 s.6,23 min 28 s.6,31 min 3 s.6,33 min 8 s.6,35 min 13 s.6,42 min 47 s.6,44 min 52 s.6,46 min 57 s.6,avg0,avg1,avg2,avg3,avg4,avg5,avg6,avg7,avg8,avg9,avg10,avg11,avg12,avg13,avg14,avg15,avg16,avg17,avg18,avg19,avg20,avg21,avg22,avg23,avg24,avg25,avg26,avg27,avg28
1,B,2.0,Control C1,204250.0,193125.0,194440.0,194254.0,189483.0,190985.0,190907.0,187254.0,187834.0,188180.0,184491.0,185411.0,184464.0,183507.0,180639.0,180624.0,179970.0,177001.0,176766.0,177178.0,172754.0,173223.0,173456.0,167731.0,168002.0,166906.0,166340.0,159709.0,159906.0,158910.0,153497.0,153331.0,153088.0,144853.0,144368.0,144330.0,137057.0,136903.0,136312.0,137789.0,128716.0,128698.0,129122.0,121057.0,120937.0,120153.0,93107.0,92548.0,93698.0,86006.0,86657.0,86673.0,86985.0,80874.0,81524.0,81550.0,77140.0,77436.0,77073.0,73285.0,73416.0,73523.0,70511.0,70711.0,70527.0,70753.0,68478.0,67976.0,68612.0,67295.0,67272.0,67450.0,66098.0,65892.0,66049.0,65634.0,65775.0,65585.0,65713.0,65339.0,65433.0,65258.0,65347.0,64829.0,64875.0,64873.0,65047.0,64741.0,64508.0,64464.0,64541.0,204250.0,194347.0,190946.0,188007.0,184937.5,180297.0,176972.0,173339.5,167454.0,159408.0,153209.5,144349.0,136607.5,128910.0,120545.0,93123.0,86665.0,81537.0,77254.5,73469.5,70619.0,68294.0,67361.0,65970.5,65680.0,65345.5,64852.0,64894.0,64502.5
2,E,6.0,Control C2,206056.0,194447.0,196244.0,196732.0,189093.0,191908.0,192916.0,184438.0,187416.0,190300.0,181100.0,183569.0,184780.0,185702.0,176467.0,179705.0,182010.0,172180.0,175410.0,179576.0,168931.0,171830.0,175861.0,165073.0,167888.0,166523.0,167015.0,157722.0,159120.0,161014.0,152591.0,153476.0,154622.0,144159.0,145135.0,146401.0,135122.0,136266.0,136659.0,139440.0,129244.0,129914.0,131231.0,119927.0,121273.0,118889.0,105356.0,106081.0,107780.0,97375.0,98568.0,98584.0,99179.0,89809.0,90749.0,91080.0,83257.0,83725.0,85368.0,77971.0,78178.0,79097.0,73789.0,73317.0,74089.0,74820.0,70312.0,70207.0,72194.0,68218.0,68039.0,69859.0,66772.0,66619.0,68050.0,65701.0,65446.0,65400.0,67291.0,65448.0,65278.0,66415.0,65162.0,64803.0,66077.0,64808.0,64646.0,65653.0,64723.0,64158.0,63741.0,206056.0,196488.0,192412.0,188858.0,184174.5,180857.5,177493.0,173845.5,167205.5,160067.0,154049.0,145768.0,136462.5,130572.5,120081.0,106930.5,98576.0,90914.5,84546.5,78637.5,73703.0,71200.5,68949.0,67334.5,65423.0,65846.5,65440.0,65149.5,63949.5
3,E,7.0,Control C3,173086.0,164759.0,166073.0,167108.0,160550.0,163528.0,163915.0,157226.0,158757.0,160983.0,154180.0,157304.0,156913.0,157565.0,152093.0,152701.0,154920.0,149659.0,149827.0,152629.0,145929.0,147240.0,149488.0,141132.0,143267.0,142959.0,142992.0,135297.0,135986.0,137539.0,129927.0,130787.0,131915.0,123140.0,123318.0,124669.0,115393.0,116559.0,116951.0,118869.0,110084.0,110810.0,111674.0,102626.0,103726.0,99838.0,89447.0,90304.0,91166.0,81909.0,83084.0,82501.0,84052.0,75486.0,75929.0,77003.0,70735.0,71601.0,72483.0,66071.0,66115.0,67306.0,63239.0,62811.0,63568.0,63767.0,59993.0,59638.0,61602.0,58508.0,58483.0,59880.0,57321.0,57281.0,58912.0,56188.0,56360.0,56342.0,58081.0,56565.0,56512.0,57817.0,56309.0,56082.0,57458.0,56321.0,56203.0,56895.0,55963.0,55923.0,55627.0,173086.0,166590.5,163721.5,159870.0,157108.5,153810.5,151228.0,148364.0,143113.0,136762.5,131351.0,123993.5,116755.0,111242.0,101782.0,90735.0,82792.5,76466.0,72042.0,66710.5,63189.5,60620.0,59181.5,58096.5,56351.0,57164.5,56770.0,56549.0,55775.0
4,E,8.0,Control C4,177525.0,168681.0,170452.0,171348.0,165153.0,167625.0,168470.0,162033.0,164491.0,166099.0,159222.0,162040.0,161936.0,163162.0,156600.0,157132.0,159714.0,154217.0,155443.0,158045.0,150846.0,152667.0,155045.0,147101.0,148244.0,148905.0,148670.0,140127.0,141060.0,142221.0,134805.0,135717.0,136658.0,127442.0,128398.0,128670.0,119276.0,120292.0,119739.0,122772.0,113531.0,114143.0,115663.0,105378.0,106350.0,103072.0,91710.0,92797.0,94289.0,83570.0,84695.0,84217.0,85804.0,77135.0,78211.0,78861.0,73016.0,73478.0,74095.0,68056.0,68319.0,69051.0,64753.0,64026.0,64839.0,65334.0,61785.0,61895.0,63091.0,59876.0,60181.0,61608.0,58939.0,58886.0,60102.0,58444.0,57930.0,58302.0,60258.0,58279.0,58040.0,59356.0,58179.0,57760.0,59026.0,57664.0,57849.0,58471.0,57110.0,57189.0,56916.0,177525.0,170900.0,168047.5,165295.0,161988.0,158423.0,156744.0,153856.0,148574.5,141640.5,136187.5,128534.0,120015.5,114903.0,104711.0,93543.0,84456.0,78536.0,73786.5,68685.0,64432.5,62493.0,60894.5,59494.0,58116.0,58698.0,58393.0,58160.0,57052.5
5,G,11.0,Control C5,169715.0,162502.0,164990.0,165267.0,158647.0,161904.0,162393.0,156681.0,159119.0,159901.0,154706.0,155949.0,154663.0,155084.0,149852.0,149899.0,153087.0,146793.0,146694.0,149598.0,142736.0,142887.0,144611.0,137468.0,137479.0,137223.0,137153.0,130387.0,130725.0,131563.0,123939.0,124382.0,125271.0,116552.0,116700.0,116975.0,110343.0,110450.0,109782.0,111114.0,103858.0,104002.0,104733.0,96077.0,97136.0,93218.0,82419.0,83593.0,84421.0,75362.0,76424.0,76320.0,77072.0,70114.0,71213.0,71357.0,66311.0,67098.0,67559.0,62136.0,62616.0,63490.0,59039.0,59642.0,59446.0,60080.0,56638.0,57461.0,58478.0,55562.0,56256.0,57472.0,54864.0,55136.0,56269.0,54601.0,54610.0,55299.0,56514.0,54976.0,54721.0,56208.0,54652.0,54545.0,56469.0,55253.0,54931.0,55539.0,54331.0,53993.0,54322.0,169715.0,165128.5,162148.5,159510.0,155306.0,151493.0,148146.0,143749.0,137351.0,131144.0,124826.5,116837.5,110116.0,104367.5,95177.0,84007.0,76372.0,71285.0,67328.5,63053.0,59544.0,57969.5,56864.0,55702.5,54954.5,55464.5,55507.0,55235.0,54157.5
6,B,11.0,Negative control N,56772.0,55780.0,54918.0,55029.0,55766.0,54883.0,55626.0,56086.0,55177.0,55868.0,55978.0,55540.0,55371.0,56171.0,56174.0,55646.0,56765.0,57608.0,56891.0,58360.0,58555.0,58396.0,59625.0,59811.0,58968.0,58881.0,59340.0,59262.0,58341.0,59116.0,58766.0,58528.0,58860.0,58453.0,57769.0,58764.0,57898.0,57719.0,57814.0,59370.0,58276.0,57813.0,58631.0,57898.0,57395.0,54239.0,53263.0,53099.0,54439.0,53517.0,53413.0,53472.0,54412.0,53679.0,53490.0,53900.0,53175.0,53210.0,53888.0,53741.0,52940.0,53828.0,53451.0,53273.0,53103.0,53961.0,53086.0,52935.0,54029.0,53364.0,53197.0,53959.0,53514.0,53511.0,54749.0,54077.0,53901.0,54100.0,55324.0,54703.0,54910.0,55457.0,55576.0,55261.0,55971.0,55501.0,55471.0,56209.0,55237.0,55095.0,55390.0,56772.0,54973.5,55254.5,55522.5,55455.5,56205.5,57625.5,59010.5,58924.5,58728.5,58694.0,58266.5,57766.5,58222.0,55817.0,53769.0,53442.5,53695.0,53549.0,53384.0,53188.0,53482.0,53578.0,54130.0,54000.5,55183.5,55616.0,55840.0,55242.5
7,D,7.0,Negative control N,62453.0,62588.0,61170.0,61266.0,61774.0,60754.0,61246.0,61417.0,60723.0,61666.0,61226.0,60865.0,61023.0,61775.0,61294.0,61203.0,62550.0,62591.0,62395.0,64535.0,64585.0,64290.0,65568.0,64752.0,64134.0,64310.0,64989.0,64055.0,63434.0,65059.0,64257.0,63625.0,64382.0,63746.0,63057.0,64115.0,63412.0,63051.0,63042.0,64754.0,63678.0,63473.0,64469.0,62926.0,62685.0,59058.0,58012.0,58118.0,59031.0,58053.0,57968.0,57643.0,58513.0,57948.0,58075.0,58990.0,57707.0,57952.0,58740.0,58008.0,57587.0,58812.0,57819.0,57581.0,57719.0,58383.0,57726.0,57607.0,58460.0,57586.0,57634.0,59103.0,57675.0,57772.0,59337.0,58665.0,58378.0,58439.0,59908.0,59295.0,59360.0,60339.0,59841.0,59286.0,60855.0,59861.0,59383.0,60252.0,59796.0,59135.0,59433.0,62453.0,61218.0,61000.0,61194.5,60944.0,61876.5,63465.0,64929.0,64222.0,64246.5,64003.5,63586.0,63046.5,63971.0,60871.5,58574.5,57805.5,58532.5,58346.0,58199.5,57650.0,58033.5,58368.5,58554.5,58408.5,59849.5,60070.5,59817.5,59284.0
8,E,5.0,Negative control N,50038.0,50371.0,49306.0,49489.0,50255.0,49428.0,49853.0,50320.0,49592.0,50107.0,50124.0,49482.0,49487.0,50166.0,50382.0,49923.0,51112.0,51133.0,50793.0,53312.0,53048.0,52954.0,53578.0,53430.0,52501.0,52850.0,53281.0,52576.0,52165.0,53109.0,52665.0,52398.0,53052.0,52435.0,51732.0,52631.0,52210.0,51850.0,51705.0,53511.0,52535.0,52166.0,52910.0,52022.0,51434.0,47782.0,46995.0,46763.0,47594.0,46615.0,46484.0,46760.0,47484.0,46719.0,46929.0,47610.0,47127.0,47005.0,47717.0,46737.0,46665.0,47687.0,46695.0,46694.0,46401.0,47131.0,46523.0,46582.0,47199.0,46895.0,46849.0,47626.0,47062.0,47029.0,48163.0,47268.0,47388.0,47160.0,48662.0,48367.0,48029.0,49484.0,48331.0,48175.0,49199.0,48575.0,48442.0,49197.0,48641.0,47836.0,48162.0,50038.0,49397.5,49640.5,49849.5,49484.5,50517.5,52052.5,53266.0,52675.5,52637.0,52725.0,52181.5,51777.5,52538.0,49608.0,47178.5,46622.0,47269.5,47361.0,47176.0,46547.5,46890.5,47237.5,47596.0,47274.0,48756.5,48687.0,48819.5,47999.0
9,G,2.0,Negative control N,55981.0,57263.0,56219.0,56952.0,59719.0,59077.0,56928.0,57997.0,57016.0,57176.0,58041.0,56942.0,56949.0,58053.0,57884.0,57235.0,58883.0,58766.0,58297.0,60413.0,60707.0,60582.0,61005.0,60767.0,60194.0,60211.0,60625.0,59854.0,59820.0,60596.0,60417.0,59871.0,60750.0,59867.0,59688.0,60266.0,60938.0,59501.0,58954.0,61040.0,60877.0,59857.0,61002.0,60425.0,59601.0,55951.0,54519.0,55309.0,55808.0,54955.0,54785.0,54938.0,55809.0,54715.0,54873.0,55916.0,56506.0,56394.0,55823.0,55203.0,54711.0,55881.0,54953.0,54965.0,55208.0,55679.0,55335.0,55017.0,55989.0,55364.0,55250.0,56330.0,55694.0,55843.0,56711.0,56169.0,56371.0,56248.0,58127.0,57356.0,57177.0,58179.0,58414.0,57548.0,58481.0,58054.0,57611.0,58615.0,57881.0,57337.0,57555.0,55981.0,56585.5,58002.5,57096.0,56945.5,58059.0,59355.0,60793.5,60202.5,60208.0,60310.5,59977.0,59227.5,60429.5,57776.0,55558.5,54861.5,55394.5,56108.5,55296.0,55086.5,55503.0,55790.0,56277.0,56309.5,57678.0,58014.5,58113.0,57446.0
10,B,3.0,C1,123987.0,113922.0,114035.0,113629.0,110217.0,110900.0,111061.0,108160.0,109023.0,109744.0,105924.0,106266.0,106313.0,106250.0,102697.0,103184.0,103159.0,101170.0,101315.0,101348.0,99598.0,99650.0,99541.0,96448.0,96594.0,96276.0,95914.0,91997.0,92061.0,92501.0,88181.0,88009.0,88601.0,83541.0,83745.0,83543.0,78769.0,78657.0,78042.0,79779.0,74740.0,75099.0,75394.0,70705.0,70742.0,66501.0,60599.0,60820.0,61152.0,56282.0,57254.0,57151.0,57508.0,53695.0,53758.0,54047.0,51122.0,51350.0,51286.0,48243.0,48686.0,48607.0,46793.0,46245.0,46558.0,46888.0,44800.0,44613.0,45198.0,44139.0,43847.0,44337.0,43385.0,43377.0,43836.0,43049.0,43252.0,43282.0,43636.0,43297.0,43424.0,43712.0,43474.0,43202.0,43877.0,43624.0,43260.0,43623.0,43431.0,43045.0,43023.0,123987.0,113832.0,110980.5,109383.5,106289.5,103171.5,101331.5,99595.5,96435.0,92281.0,88305.0,83644.0,78349.5,75246.5,68621.5,60986.0,57202.5,53902.5,51318.0,48646.5,46401.5,44905.5,44092.0,43606.5,43267.0,43568.0,43539.5,43441.5,43034.0
