Injection #,Initial sample vol (킠),Cumulative vol. (킠) of denaturant injected,Cumulative total vol. (킠) in well,Denaturant conc. (M) with no evap. Correction,Injection vol. (킠),Denaturant conc. (킡) step increase,Measurement time (s),Cumulative total vol. (킠) in well with evap. correction,Denaturant conc. (M) with evap. correction,Pump to use,Pump injection speed
0,50,0,50,0,0,,,,0,,
1,50,3,53,0.169811321,3,0.169811321,746.75,52.1890295,0.172450036,Pump 1,430 킠/s
2,50,6,56,0.321428571,3,0.151617251,1493.5,54.378059,0.331015861,Pump 1,430 킠/s
3,50,9,59,0.457627119,3,0.136198547,2240.25,56.5670885,0.477309346,Pump 1,430 킠/s
4,50,12,62,0.580645161,3,0.123018043,2987,58.756118,0.612702153,Pump 1,430 킠/s
5,50,15,65,0.692307692,3,0.111662531,3733.75,60.9451475,0.738368875,Pump 1,430 킠/s
6,50,18,68,0.794117647,3,0.101809955,4480.5,63.134177,0.855321199,Pump 1,430 킠/s
7,50,21,71,0.887323944,3,0.093206297,5227.25,65.3232065,0.964435204,Pump 1,430 킠/s
8,50,24,74,0.972972973,3,0.085649029,5974,67.512236,1.066473343,Pump 1,430 킠/s
9,50,27,77,1.051948052,3,0.078975079,6720.75,69.7012655,1.162102286,Pump 1,430 킠/s
10,50,30,80,1.125,3,0.073051948,7467.5,71.890295,1.251907507,Pump 1,430 킠/s
11,50,34,84,1.214285714,4,0.089285714,8214.25,75.0793245,1.358563102,Pump 1,400 킠/s
12,50,38,88,1.295454545,4,0.081168831,8961,78.268354,1.456527372,Pump 1,400 킠/s
13,50,42,92,1.369565217,4,0.074110672,9707.75,81.4573835,1.546821106,Pump 1,400 킠/s
14,50,47,97,1.453608247,5,0.08404303,10454.5,85.646413,1.646303623,Pump 1,350 킠/s
15,50,50,100,1.59,3,0.136391753,11201.25,87.8354425,1.81020321,Pump 2,430 킠/s
16,50,53,103,1.718446602,3,0.128446602,11948,90.024472,1.966132054,Pump 2,430 킠/s
17,50,56,106,1.839622642,3,0.12117604,12694.75,92.2135015,2.114657798,Pump 2,430 킠/s
18,50,59,109,1.95412844,3,0.114505799,13441.5,94.402531,2.256295438,Pump 2,430 킠/s
19,50,63,113,2.097345133,4,0.143216692,14188.25,97.5915605,2.428488681,Pump 2,400 킠/s
20,50,67,117,2.230769231,4,0.133424098,14935,100.78059,2.589784402,Pump 2,400 킠/s
21,50,71,121,2.355371901,4,0.12460267,15681.75,103.9696195,2.741185371,Pump 2,400 킠/s
22,50,75,125,2.472,4,0.116628099,16428.5,107.158649,2.883574988,Pump 2,400 킠/s
23,50,80,130,2.607692308,5,0.135692308,17175.25,111.3476785,3.044517897,Pump 2,350 킠/s
24,50,85,135,2.733333333,5,0.125641026,17922,115.536708,3.19379015,Pump 2,350 킠/s
25,50,91,141,2.872340426,6,0.139007092,18668.75,120.7257375,3.354711335,Pump 2,300 킠/s
26,50,97,147,3,6,0.127659574,19415.5,125.914767,3.502369186,Pump 2,300 킠/s
27,50,104,154,3.136363636,7,0.136363636,20162.25,132.1037965,3.656215891,Pump 2,260 킠/s
28,50,111,161,3.260869565,7,0.124505929,20909,138.292826,3.796292369,Pump 2,260 킠/s
