User: USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Path: C:\Users\ENMS\Dropbox\S230 Lab Data Storage\User\Data\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test ID: 224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name: GUAN1Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: 1/14/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 10:26:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fluorescence (FI), multichromatic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Well
Row","Well
Col",Content,Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 1),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 3),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 5),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 7),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 9),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 11),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13),Raw Data (280/330 13)
,,Time,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s,0 min ,7 min 34 s,9 min 39 s,11 min 44 s,19 min 18 s,21 min 23 s,23 min 28 s,31 min 3 s,33 min 8 s,35 min 13 s,42 min 47 s,44 min 52 s,46 min 57 s
,,Average,-1,,1,1,,2,2,,3,3,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,2,Control C1,204250,193125,194440,194254,189483,190985,190907,187254,187834,188180,184491,185411,184464,183507,180639,180624,179970,177001,176766,177178,172754,173223,173456,167731,168002,166906,166340,159709,159906,158910,153497,153331,153088,144853,144368,144330,137057,136903,136312,137789,128716,128698,129122,121057,120937,120153,93107,92548,93698,86006,86657,86673,86985,80874,81524,81550,77140,77436,77073,73285,73416,73523,70511,70711,70527,70753,68478,67976,68612,67295,67272,67450,66098,65892,66049,65634,65775,65585,65713,65339,65433,65258,65347,64829,64875,64873,65047,64741,64508,64464,64541
E,6,Control C2,206056,194447,196244,196732,189093,191908,192916,184438,187416,190300,181100,183569,184780,185702,176467,179705,182010,172180,175410,179576,168931,171830,175861,165073,167888,166523,167015,157722,159120,161014,152591,153476,154622,144159,145135,146401,135122,136266,136659,139440,129244,129914,131231,119927,121273,118889,105356,106081,107780,97375,98568,98584,99179,89809,90749,91080,83257,83725,85368,77971,78178,79097,73789,73317,74089,74820,70312,70207,72194,68218,68039,69859,66772,66619,68050,65701,65446,65400,67291,65448,65278,66415,65162,64803,66077,64808,64646,65653,64723,64158,63741
E,7,Control C3,173086,164759,166073,167108,160550,163528,163915,157226,158757,160983,154180,157304,156913,157565,152093,152701,154920,149659,149827,152629,145929,147240,149488,141132,143267,142959,142992,135297,135986,137539,129927,130787,131915,123140,123318,124669,115393,116559,116951,118869,110084,110810,111674,102626,103726,99838,89447,90304,91166,81909,83084,82501,84052,75486,75929,77003,70735,71601,72483,66071,66115,67306,63239,62811,63568,63767,59993,59638,61602,58508,58483,59880,57321,57281,58912,56188,56360,56342,58081,56565,56512,57817,56309,56082,57458,56321,56203,56895,55963,55923,55627
E,8,Control C4,177525,168681,170452,171348,165153,167625,168470,162033,164491,166099,159222,162040,161936,163162,156600,157132,159714,154217,155443,158045,150846,152667,155045,147101,148244,148905,148670,140127,141060,142221,134805,135717,136658,127442,128398,128670,119276,120292,119739,122772,113531,114143,115663,105378,106350,103072,91710,92797,94289,83570,84695,84217,85804,77135,78211,78861,73016,73478,74095,68056,68319,69051,64753,64026,64839,65334,61785,61895,63091,59876,60181,61608,58939,58886,60102,58444,57930,58302,60258,58279,58040,59356,58179,57760,59026,57664,57849,58471,57110,57189,56916
G,11,Control C5,169715,162502,164990,165267,158647,161904,162393,156681,159119,159901,154706,155949,154663,155084,149852,149899,153087,146793,146694,149598,142736,142887,144611,137468,137479,137223,137153,130387,130725,131563,123939,124382,125271,116552,116700,116975,110343,110450,109782,111114,103858,104002,104733,96077,97136,93218,82419,83593,84421,75362,76424,76320,77072,70114,71213,71357,66311,67098,67559,62136,62616,63490,59039,59642,59446,60080,56638,57461,58478,55562,56256,57472,54864,55136,56269,54601,54610,55299,56514,54976,54721,56208,54652,54545,56469,55253,54931,55539,54331,53993,54322
B,11,Negative control N,56772,55780,54918,55029,55766,54883,55626,56086,55177,55868,55978,55540,55371,56171,56174,55646,56765,57608,56891,58360,58555,58396,59625,59811,58968,58881,59340,59262,58341,59116,58766,58528,58860,58453,57769,58764,57898,57719,57814,59370,58276,57813,58631,57898,57395,54239,53263,53099,54439,53517,53413,53472,54412,53679,53490,53900,53175,53210,53888,53741,52940,53828,53451,53273,53103,53961,53086,52935,54029,53364,53197,53959,53514,53511,54749,54077,53901,54100,55324,54703,54910,55457,55576,55261,55971,55501,55471,56209,55237,55095,55390
D,7,Negative control N,62453,62588,61170,61266,61774,60754,61246,61417,60723,61666,61226,60865,61023,61775,61294,61203,62550,62591,62395,64535,64585,64290,65568,64752,64134,64310,64989,64055,63434,65059,64257,63625,64382,63746,63057,64115,63412,63051,63042,64754,63678,63473,64469,62926,62685,59058,58012,58118,59031,58053,57968,57643,58513,57948,58075,58990,57707,57952,58740,58008,57587,58812,57819,57581,57719,58383,57726,57607,58460,57586,57634,59103,57675,57772,59337,58665,58378,58439,59908,59295,59360,60339,59841,59286,60855,59861,59383,60252,59796,59135,59433
E,5,Negative control N,50038,50371,49306,49489,50255,49428,49853,50320,49592,50107,50124,49482,49487,50166,50382,49923,51112,51133,50793,53312,53048,52954,53578,53430,52501,52850,53281,52576,52165,53109,52665,52398,53052,52435,51732,52631,52210,51850,51705,53511,52535,52166,52910,52022,51434,47782,46995,46763,47594,46615,46484,46760,47484,46719,46929,47610,47127,47005,47717,46737,46665,47687,46695,46694,46401,47131,46523,46582,47199,46895,46849,47626,47062,47029,48163,47268,47388,47160,48662,48367,48029,49484,48331,48175,49199,48575,48442,49197,48641,47836,48162
